flock,farm,actual,predicted,prediction_day,error_g,absolute_error_g
2025-5_Lags 1,Lags,1306.0,1415.1380858699638,9,109.13808586996379,109.13808586996379
2025-5_Lags 1,Lags,1306.0,1415.6481964010495,10,109.64819640104952,109.64819640104952
2025-5_Lags 1,Lags,1306.0,1416.0914610999034,11,110.09146109990343,110.09146109990343
2025-5_Lags 1,Lags,1306.0,1383.7091049659275,12,77.70910496592751,77.70910496592751
2025-5_Lags 1,Lags,1306.0,1330.0589122107226,13,24.05891221072261,24.05891221072261
2025-5_Lags 1,Lags,1306.0,1319.955370693268,14,13.955370693267923,13.955370693267923
2025-5_Lags 1,Lags,1306.0,1335.6255500204895,15,29.625550020489527,29.625550020489527
2025-5_Lags 1,Lags,1306.0,1353.7947377261962,16,47.79473772619622,47.79473772619622
2025-5_Lags 1,Lags,1306.0,1386.1770938601726,17,80.17709386017259,80.17709386017259
2025-5_Lags 1,Lags,1306.0,1402.5783794909694,18,96.57837949096938,96.57837949096938
2025-5_Lags 1,Lags,1306.0,1429.7691852899118,19,123.76918528991177,123.76918528991177
2025-5_Lags 1,Lags,1306.0,1457.3880031192691,20,151.38800311926911,151.38800311926911
2025-5_Lags 1,Lags,1306.0,1464.2838432909184,21,158.2838432909184,158.2838432909184
2025-5_Lags 2,Lags,1176.0,1625.4136697492704,1,449.4136697492704,449.4136697492704
2025-5_Lags 2,Lags,1176.0,1633.177071440724,2,457.1770714407239,457.1770714407239
2025-5_Lags 2,Lags,1176.0,1623.5844014382333,3,447.5844014382333,447.5844014382333
2025-5_Lags 2,Lags,1176.0,1568.426464245277,4,392.426464245277,392.426464245277
2025-5_Lags 2,Lags,1176.0,1545.0222290378815,5,369.0222290378815,369.0222290378815
2025-5_Lags 2,Lags,1176.0,1547.0925374033732,6,371.09253740337317,371.09253740337317
2025-5_Lags 2,Lags,1176.0,1369.24073271732,7,193.24073271732004,193.24073271732004
2025-5_Lags 2,Lags,1176.0,1307.217727438807,8,131.21772743880706,131.21772743880706
2025-5_Lags 2,Lags,1176.0,1333.2512907871264,9,157.25129078712644,157.25129078712644
2025-5_Lags 2,Lags,1176.0,1284.61263394616,10,108.61263394616003,108.61263394616003
2025-5_Lags 2,Lags,1176.0,1312.564833631082,11,136.5648336310819,136.5648336310819
2025-5_Lags 2,Lags,1176.0,1284.3310009371571,12,108.33100093715711,108.33100093715711
2025-5_Lags 2,Lags,1176.0,1289.5471302251224,13,113.54713022512237,113.54713022512237
2025-5_Lags 2,Lags,1176.0,1289.0408458362776,14,113.04084583627764,113.04084583627764
2025-5_Lags 2,Lags,1176.0,1290.422967441728,15,114.4229674417279,114.4229674417279
2025-5_Lags 2,Lags,1176.0,1290.422967441728,16,114.4229674417279,114.4229674417279
2025-5_Lags 2,Lags,1176.0,1281.2147285072097,17,105.21472850720966,105.21472850720966
2025-5_Lags 2,Lags,1176.0,1301.452664635903,18,125.45266463590292,125.45266463590292
2025-5_Lags 2,Lags,1176.0,1307.2578303119635,19,131.25783031196352,131.25783031196352
2025-5_Lags 2,Lags,1176.0,1280.5659001089325,20,104.56590010893251,104.56590010893251
2025-5_Lags 2,Lags,1176.0,1268.2798599236442,21,92.27985992364415,92.27985992364415
2025-5_Lags 3,Lags,1182.0,1488.5824788027896,1,306.58247880278964,306.58247880278964
2025-5_Lags 3,Lags,1182.0,1490.4383261238647,2,308.4383261238647,308.4383261238647
2025-5_Lags 3,Lags,1182.0,1499.715859383612,3,317.71585938361204,317.71585938361204
2025-5_Lags 3,Lags,1182.0,1499.715859383612,4,317.71585938361204,317.71585938361204
2025-5_Lags 3,Lags,1182.0,1500.8178658929835,5,318.8178658929835,318.8178658929835
2025-5_Lags 3,Lags,1182.0,1500.8178658929835,6,318.8178658929835,318.8178658929835
2025-5_Lags 3,Lags,1182.0,1358.8259478988848,7,176.8259478988848,176.8259478988848
2025-5_Lags 3,Lags,1182.0,1282.423959524393,8,100.42395952439301,100.42395952439301
2025-5_Lags 3,Lags,1182.0,1242.032848189587,9,60.03284818958696,60.03284818958696
2025-5_Lags 3,Lags,1182.0,1247.597419700831,10,65.5974197008311,65.5974197008311
2025-5_Lags 3,Lags,1182.0,1242.3476579057165,11,60.34765790571646,60.34765790571646
2025-5_Lags 3,Lags,1182.0,1230.2342957626097,12,48.23429576260969,48.23429576260969
2025-5_Lags 3,Lags,1182.0,1238.1318590016192,13,56.131859001619205,56.131859001619205
2025-5_Lags 3,Lags,1182.0,1230.2342957626097,14,48.23429576260969,48.23429576260969
2025-5_Lags 3,Lags,1182.0,1241.109933711395,15,59.10993371139489,59.10993371139489
2025-5_Lags 3,Lags,1182.0,1241.109933711395,16,59.10993371139489,59.10993371139489
2025-5_Lags 3,Lags,1182.0,1263.2009668231756,17,81.20096682317558,81.20096682317558
2025-5_Lags 3,Lags,1182.0,1246.6371717015186,18,64.63717170151858,64.63717170151858
2025-5_Lags 3,Lags,1182.0,1248.277164362633,19,66.2771643626329,66.2771643626329
2025-5_Lags 3,Lags,1182.0,1250.5161679587611,20,68.51616795876112,68.51616795876112
2025-5_Lags 3,Lags,1182.0,1250.5161679587611,21,68.51616795876112,68.51616795876112
2025-5_Tags 1,Tags,1702.0,1534.6853931323,1,-167.31460686769992,167.31460686769992
2025-5_Tags 1,Tags,1702.0,1583.7435158144465,2,-118.25648418555352,118.25648418555352
2025-5_Tags 1,Tags,1702.0,1574.2000847236525,3,-127.79991527634752,127.79991527634752
