source_index,cycle_id,building_id,cycle_day,feature,feature_value,shap_recovery_effect
7,2025-2,Tags 2,25,historical_building_recovery,0.9248595987494426,0.0009138141702873975
7,2025-2,Tags 2,25,peer_delta_percentage_alive,0.0,-0.00012676771893546058
7,2025-2,Tags 2,25,peer_delta_weight_gap_pct,-2.2499999999999876,0.00019494308119776514
7,2025-2,Tags 2,25,missingindicator_temperature_deviation_from_band_c,1.0,0.00014298868409952256
7,2025-2,Tags 2,25,missingindicator_humidity_deviation_from_band_pp,1.0,-1.6518754415972374e-05
7,2025-2,Tags 2,25,missingindicator_environment_out_of_band_days_7d,1.0,0.00012021018915107692
7,2025-2,Tags 2,25,missingindicator_environment_staleness_days,1.0,8.175893033191632e-05
8,2025-2,Tags 3,7,cycle_day,7.0,-0.013262083967331896
8,2025-2,Tags 3,7,percentage_alive,0.9855882352941177,-0.000507645006228772
8,2025-2,Tags 3,7,mortality_recent_3d_per_1000,1.7156862745098038,-0.0025356849720165634
8,2025-2,Tags 3,7,mortality_trend_delta_per_1000,0.0,8.733823658400748e-05
8,2025-2,Tags 3,7,weight_gap_pct,24.117647058823533,0.0011272742118014038
8,2025-2,Tags 3,7,weight_staleness_days,0.0,-0.004566972499050841
8,2025-2,Tags 3,7,temperature_deviation_from_band_c,1.476946133063132,0.001071742985275866
8,2025-2,Tags 3,7,humidity_deviation_from_band_pp,14.394841269841264,0.0018597925359278493
8,2025-2,Tags 3,7,environment_out_of_band_days_7d,7.0,0.0003043148340684356
8,2025-2,Tags 3,7,environment_staleness_days,0.0,-0.00011515129084521473
8,2025-2,Tags 3,7,is_lags_building,0.0,0.002547732571504795
8,2025-2,Tags 3,7,historical_building_recovery,0.9332659444800505,0.001694839999908432
8,2025-2,Tags 3,7,peer_delta_percentage_alive,0.0022058823529412797,0.0007133980989299639
8,2025-2,Tags 3,7,peer_delta_weight_gap_pct,0.0,0.00037680052462260274
8,2025-2,Tags 3,7,missingindicator_temperature_deviation_from_band_c,1.0,0.00016927157642900403
8,2025-2,Tags 3,7,missingindicator_humidity_deviation_from_band_pp,1.0,7.76256790132747e-05
8,2025-2,Tags 3,7,missingindicator_environment_out_of_band_days_7d,1.0,0.00019436747925663005
8,2025-2,Tags 3,7,missingindicator_environment_staleness_days,1.0,0.00011503142821170152
9,2025-2,Tags 3,14,cycle_day,14.0,-0.009626832626592557
9,2025-2,Tags 3,14,percentage_alive,0.9755882352941176,-0.000361237994691782
9,2025-2,Tags 3,14,mortality_recent_3d_per_1000,1.2745098039215683,0.00034623679994189954
9,2025-2,Tags 3,14,mortality_trend_delta_per_1000,0.0,6.850810481708102e-05
9,2025-2,Tags 3,14,weight_gap_pct,-14.21052631578947,0.0012751654180739689
9,2025-2,Tags 3,14,weight_staleness_days,0.0,-0.004334824558869458
9,2025-2,Tags 3,14,temperature_deviation_from_band_c,1.476946133063132,0.0010295087630070668
9,2025-2,Tags 3,14,humidity_deviation_from_band_pp,14.394841269841264,0.001813488820350973
9,2025-2,Tags 3,14,environment_out_of_band_days_7d,7.0,0.00019120803212197265
9,2025-2,Tags 3,14,environment_staleness_days,0.0,-0.00012489245110050697
9,2025-2,Tags 3,14,is_lags_building,0.0,0.00277839647525051
